,start_frame,start_frame_sec,video_uid,clip_uid,total_frames,label,end_frame_sec,filename,end_frame,Unnamed: 0
7966,70804,27.69838,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,36,throw_away_trash,28.911,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,70840,7967.0
7967,70944,32.36879,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,269,wash_dishes,41.336,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71213,7968.0
7968,71760,59.58029,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,0,converse,59.58029,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71760,7969.0
7969,71863,63.01441,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,80,use_phone,65.673,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,71943,7970.0
7970,73879,137.4112,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,38,turn-on,138.657,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,73917,7971.0
7971,82870,437.11481,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,0,clean,437.11481,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,82870,7972.0
7972,83155,446.59293,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,350,stir,458.251,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,83505,7973.0
7973,83680,464.10207,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,477,serve_food_onto_a_plate,480.0,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,84157,7974.0
7974,83135,445.93817,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,359,stir,457.89947,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,83494,7975.0
7975,83656,463.28979,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,501,serve_food_onto_a_plate,480.0,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,84157,7976.0
7976,78218,282.0273,cd12acc4-1952-459b-9cb1-0677cc92005a,013559ff-eab2-4c25-a475-90bf56f5ae9e,47,turn-on,283.60863,v1/full_scale/cd12acc4-1952-459b-9cb1-0677cc92005a.mp4,78265,7977.0
5286,47631,327.74624,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,3779,stir,453.731,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51410,5287.0
5287,48225,347.56848,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,1882,rinse,410.289,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50107,5288.0
5288,50313,417.18198,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,54,throw_away_trash,418.968,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50367,5289.0
5289,51011,440.43419,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,399,"""cut",453.731,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51410,5290.0
5290,51275,449.24021,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,136,"""cut",453.76364,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51411,5291.0
5291,51478,456.00573,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,273,fill_a_pot,465.09071,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51751,5292.0
5292,51880,469.39668,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,318,blend_ingredients_using_an_electric_blender,480.0,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,52198,5293.0
5293,45048,241.61829,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,128,fold_clothes,245.89922,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,45176,5294.0
5294,47611,327.07194,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,532,stir,344.84764,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,48143,5295.0
5295,48236,347.94982,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,637,stir,369.17998,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,48873,5296.0
5296,50376,419.2735,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,255,wash_dishes,427.76366,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50631,5297.0
5297,49012,373.79364,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,1028,rinse,408.05555,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50040,5298.0
5298,50287,416.31007,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,117,throw_away_trash,420.18732,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50404,5299.0
5299,50419,420.69176,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,362,wash_dishes,432.76929,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50781,5300.0
5300,51032,441.12196,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,415,"""cut",454.97934,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51447,5301.0
5301,51447,454.97934,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,306,fill_a_pot,465.15735,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,51753,5302.0
5302,52069,475.70953,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,129,blend_ingredients_using_an_electric_blender,480.0,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,52198,5303.0
5303,50834,434.5278,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,40,clean,435.8685,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,50874,5304.0
5304,43484,189.48881,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,295,load/unload_the_dishwasher,199.33939,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,43779,5305.0
5305,47628,327.62106,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,522,stir,345.06297,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,48150,5306.0
5306,45048,241.6228,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,138,fold_clothes,246.23052,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,45186,5307.0
5307,45493,256.46686,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,2083,sift_ingredients,325.9133,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,47576,5308.0
5308,39175,45.86539,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,97,put_away_(or_take_out)_ingredients_in_storage,49.09139,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,39272,5309.0
5309,39396,53.23843,fc18a064-b1d9-485d-8c19-a3151dcf5bc8,020dcb8c-1859-4afc-a278-aa13b6c5e2de,32,turn-on,54.30173,v1/full_scale/fc18a064-b1d9-485d-8c19-a3151dcf5bc8.mp4,39428,5310.0
15347,35536,464.48361,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,185,browse_through_other_items_on_rack,470.65314,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,35721,15348.0
15348,35916,477.15491,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,47,converse,478.72823,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,35963,15349.0
15349,27852,208.35614,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,25,pay_at_billing_counter,209.2021,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,27877,15350.0
15350,26044,148.10596,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,194,put_away_(or_take_out)_food_items_in_the_fridge,154.56314,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,26238,15351.0
15351,27613,200.39939,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,225,stand_in_the_queue,207.89423,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,27838,15352.0
15352,24236,87.82702,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,315,pay_at_billing_counter,98.34325,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,24551,15353.0
15353,24151,84.99605,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,432,pay_at_billing_counter,99.38973,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,24583,15354.0
15354,26013,147.0812,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,253,put_away_(or_take_out)_food_items_in_the_fridge,155.49637,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,26266,15355.0
15355,27820,207.30744,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,327,pay_at_billing_counter,218.20609,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,28147,15356.0
15356,27618,200.56995,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,575,converse,219.71981,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,28193,15357.0
15357,33100,383.31027,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,759,drink_beverage,408.61022,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,33859,15358.0
15358,35539,464.59219,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,463,browse_through_other_items_on_rack,480.022,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,36002,15359.0
15359,33885,409.47996,64ec6de1-0e86-49de-889c-4a0fdcba6658,061c1067-df29-4633-bb03-198eaed6c6c1,2117,converse,480.022,v1/full_scale/64ec6de1-0e86-49de-889c-4a0fdcba6658.mp4,36002,15360.0
14477,1606,53.50186,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,407,use_phone,67.053,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,2013,14478.0
14478,4450,148.30309,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,1153,clean,186.733,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,5603,14479.0
14479,5784,192.76959,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,45,throw_away_trash,194.265,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,5829,14480.0
14480,8152,271.68509,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,1515,rinse,322.198,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,9667,14481.0
14481,1667,55.52988,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,273,use_phone,64.63952,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,1940,14482.0
14482,3217,107.2059,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,27,interact_or_play_with_pet,108.1127,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,3244,14483.0
14483,4242,141.38113,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,191,arrange,147.71727,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,4433,14484.0
14484,5706,190.15341,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,53,clean,191.94089,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,5759,14485.0
14485,8143,271.39144,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,4566,clean,423.5916,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,12709,14486.0
14486,13595,453.12412,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,747,interact_or_play_with_pet,478.04855,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,14342,14487.0
14487,1645,54.79405,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,353,use_phone,66.57383,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,1998,14488.0
14488,4465,148.81014,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,1306,clean,192.33985,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,5771,14489.0
14489,13361,445.32185,60bfacbb-063f-4e3f-bc74-fe993c7a521a,06c2c494-640c-4bb5-8e5f-39c26af408b1,974,interact_or_play_with_pet,477.81277,v1/full_scale/60bfacbb-063f-4e3f-bc74-fe993c7a521a.mp4,14335,14490.0
12537,19293,463.09238,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,508,wash_hands,480.022,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,19801,12538.0
12538,13985,286.1395,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,574,fry_egg,305.27604,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,14559,12539.0
12539,14635,307.8111,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,375,serve_food_onto_a_plate,320.289,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,15010,12540.0
12540,15171,325.66663,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,1172,wash_dishes,364.75377,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,16343,12541.0
12541,16399,366.62967,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,25,put_away_(or_take_out)_dishes,367.47823,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,16424,12542.0
12542,14191,292.99329,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,278,fry_egg,302.2574,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,14469,12543.0
12543,14580,305.96579,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,425,serve_food_onto_a_plate,320.12025,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,15005,12544.0
12544,15517,337.21021,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,826,wash_dishes,364.75298,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,16343,12545.0
12545,17044,388.13754,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,48,put_away_(or_take_out)_dishes,389.72962,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,17092,12546.0
12546,17816,413.86191,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,178,put_away_(or_take_out)_food_items_in_the_fridge,419.80942,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,17994,12547.0
12547,19283,462.76117,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,44,wash_hands,464.24758,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,19327,12548.0
12548,9895,149.8166,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,27,put_away_(or_take_out)_dishes,150.69949,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,9922,12549.0
12549,5455,1.79105,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,34,throw_away_trash,2.93698,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,5489,12550.0
12550,6036,21.17641,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,10993,wash_dishes,387.64468,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,17029,12551.0
12551,17043,388.10724,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,49,put_away_(or_take_out)_dishes,389.72186,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,17092,12552.0
12552,18491,436.3739,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,87,put_away_(or_take_out)_food_items_in_the_fridge,439.27123,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,18578,12553.0
12553,19307,463.5605,d362ba00-301d-4e88-8786-c4da2684e62e,07d78c29-bff7-4b2f-af05-8e95852a6454,494,wash_hands,480.022,v1/full_scale/d362ba00-301d-4e88-8786-c4da2684e62e.mp4,19801,12554.0
7864,50307,418.0014,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,1860,converse,480.0,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,52167,7865.0
7865,44913,238.18214,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,27,throw_away_trash,239.055,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,44940,7866.0
7866,41391,120.75113,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,1396,use_phone,167.28498,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,42787,7867.0
7867,50305,417.93956,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,1862,converse,480.0,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,52167,7868.0
7868,41301,117.75756,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,1506,use_a_laptop,167.98113,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,42807,7869.0
7869,44914,238.21524,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,44,throw_away_trash,239.68323,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,44958,7870.0
7870,51766,466.63738,ed5791ed-49ec-4dca-8071-fa1024442841,0a0f7371-dab8-47fe-a03b-7a92abdbbfda,401,converse,480.0,v1/full_scale/ed5791ed-49ec-4dca-8071-fa1024442841.mp4,52167,7871.0
2297,14826,443.64724,e55c9315-37fe-447f-adf9-73f8ba80b338,0a10c442-1c62-471e-a9e6-b820e0fe8cda,256,fix_other_item,452.15666,v1/full_scale/e55c9315-37fe-447f-adf9-73f8ba80b338.mp4,15082,2298.0
2298,2135,20.5884,e55c9315-37fe-447f-adf9-73f8ba80b338,0a10c442-1c62-471e-a9e6-b820e0fe8cda,18,throw_away_trash,21.21455,v1/full_scale/e55c9315-37fe-447f-adf9-73f8ba80b338.mp4,2153,2299.0
